video_id,is_anomaly,class_name,start_time_sec,end_time_sec,description_summary
TR00101,true,vehicle_blocking_traffic,3.000,10.000,"A platoon of vehicles, consisting of motorcycles, a white sedan, a dark SUV, and a yellow taxi, approaches the scene and comes to a complete stop behind a stationary dark car that has its hazard lights flashing. Because the dark car is obstructing the middle and left-center lanes, the oncoming traffic is forced to decelerate and form a queue, respecting the hazard warning and the presence of individuals standing in the roadway next to the disabled vehicle."
TR00102,true,vehicle_blocking_traffic,3.000,8.000,"A white car enters the frame and drives straight through the urban underpass, maintaining a steady speed and following a linear path within its lane. The vehicle proceeds without interruption or deviation, as the roadway is clear of obstructions and there are no traffic signals to regulate the flow, resulting in a smooth transition through the sunken road section."
TR00103,true,vehicle_blocking_traffic,0.000,5.960,"A white SUV traveling from the top of the frame collides violently into the rear of a stationary heavy truck positioned in the middle of the road. The force of the impact pushes the heavy truck forward and causes the rear of the SUV to spin 90 degrees to its left side before coming to a halt. This rear-end collision was caused by the SUV driver's failure to observe the stationary vehicle ahead or maintain a safe stopping distance, resulting in a crash that leaves the SUV blocking the roadway."
TR00104,true,vehicle_blocking_traffic,3.000,7.710,"A red truck driving from the bottom right road enters the intersection and strikes the side of a green truck moving from right to left in a severe T-bone collision. The force of the impact generates a massive cloud of dust, smoke, and debris, causing both heavy vehicles to deflect toward the top left of the intersection where they eventually stall. The collision is caused by the red truck's failure to yield or stop for the green truck, which was already crossing the intersection, resulting in a complete obstruction of multiple lanes."
TR00105,true,vehicle_blocking_traffic,0.000,5.000,"A black car travels straight along a multi-lane divided highway, moving from the bottom of the frame toward the top. The vehicle maintains a steady pace and stays centered within its lane, following the natural curve of the winding road in a free-flowing traffic environment with no obstructions or conflicting vehicle interactions."
TR00106,true,vehicle_blocking_traffic,3.000,9.000,"A white sedan travels straight along the multi-lane city road, moving from the bottom right of the frame toward the distant intersection. The vehicle maintains a steady pace in the right-hand lane, taking advantage of the sparse late-night traffic and the clear road conditions to proceed without obstruction until it nears the traffic control point."
TR00107,true,vehicle_blocking_traffic,3.000,8.000,"A yellow taxi traveling in the rightmost lane drives straight through the intersection, smoothly bypassing a queue of stationary vehicles stopped at the crosswalk in the center lanes. The taxi maintains its speed and lane position, utilizing the only unobstructed path available while the other vehicles remain halted due to a red traffic signal, demonstrating a standard navigation of a localized traffic bottleneck."
TR00108,true,vehicle_blocking_traffic,1.260,1.800,"A white pickup truck entering the intersection from the left collides broadside with a gray sedan that is traveling straight through the intersection. The T-bone collision occurs because the white pickup truck failed to yield the right-of-way to the gray sedan, which was moving through a green light. The force of the impact immediately disrupts the path of both vehicles, initiating a sequence that leaves them both stalled and obstructing the roadway."
TR00109,true,vehicle_blocking_traffic,3.000,8.000,"A blue police van with active emergency flashing lights enters the left upward lane and comes to a complete halt alongside an existing queue of stationary vehicles. By stopping in this position, the police vehicle effectively obstructs the remaining open lane of travel, transitioning the local traffic condition from a partial bottleneck into a full blockage of the upward flow."
TR00110,true,vehicle_blocking_traffic,3.000,8.000,"A silver minivan and a white car enter the frame and establish their positions in the rightmost lanes of the highway, while a black van and a red car continue traveling straight in the middle lanes. On the parallel side road, a black car and a white car maintain their forward momentum, reflecting a period of stable, unobstructed traffic flow where all vehicles adhere to their lane assignments and maintain consistent speeds."
TR00111,true,vehicle_blocking_traffic,3.000,8.000,"A yellow car enters the frame on the left side of the road and maintains a steady, straight trajectory through the underpass until 00:00:10. The vehicle travels at a consistent speed in a free-flowing traffic environment, adhering to its lane markings without any interaction with other vehicles or obstructions, demonstrating standard urban road behavior in the absence of signal controls."
TR00112,true,vehicle_blocking_traffic,3.000,6.000,"A white car travels straight along the right side of the highway, maintaining a steady and relatively high speed compared to other observed traffic. The vehicle remains centered within its lane, following the unobstructed flow of the multi-lane roadway during a period of extremely light nighttime traffic, ensuring a smooth and uninterrupted transit through the frame."
TR00113,true,vehicle_blocking_traffic,3.000,8.000,"A red car travels straight along the left road, maintaining a steady speed and lane position. Because the traffic flow is sparse and there are no signals or obstructions present, the vehicle continues unimpeded through the scene, adhering to the established flow of the multi-lane arterial route."
TR00114,true,vehicle_blocking_traffic,3.000,8.000,"A motorcycle travels straight through the frame from the top left toward the bottom right, maintaining a steady pace and a bright headlight to ensure visibility. Because the traffic flow is light and the roadway is free of obstructions, the motorcycle proceeds without needing to decelerate or interact with other vehicles, adhering to the general flow of the multi-lane road."
TR00115,true,vehicle_blocking_traffic,3.000,11.270,"A green truck carrying a heavy shipping container attempts a left turn but cuts the corner too sharply, causing the vehicle to lose balance, slip, and overturn in the middle of the intersection. As the truck and its massive load crash down, they strike a motorcycle that is stopped improperly on the crosswalk, deflecting the bike and forcing the rider to retreat. The event concludes with the overturned truck and container coming to a complete stall, creating a massive obstruction that blocks the intersection and prevents waiting traffic from proceeding. The root cause is the truck driver's failure to maintain a proper turning radius for a high-center-of-gravity load, compounded by the motorcyclist's illegal positioning in the pedestrian zone."
TR00116,true,vehicle_blocking_traffic,0.000,6.750,"A white SUV traveling from the top-left of the frame loses control and skids across the roadway, leading to a violent collision with the guardrail between 00:01.32 and 00:04.34. The force of the impact causes the vehicle to roll over and slide across the lanes, scattering debris and kicking up dust before it eventually comes to a complete stall in the middle of the highway by 00:05.38. This anomaly was caused by the driver losing control of the vehicle, which transformed a routine drive into a severe single-vehicle rollover accident that obstructed multiple traffic lanes."
