video_id,is_anomaly,class_name,start_time_sec,end_time_sec,description_summary
TR00261,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00262,true,smoke,0.000,5.834,A large smoke plume is visible from an aerial viewpoint.
TR00264,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00265,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00266,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00267,true,smoke,0.000,30.000,Smoke is visible in an urban CCTV scene.
TR00268,true,smoke,3.000,6.000,"A silver car traveling at a high rate of speed crashes violently into the concrete structure of a toll booth, triggering an immediate and massive explosion. The vehicle is instantly engulfed in a large fireball that produces a thick plume of black smoke, resulting from the car's excessive speed and failure to maintain a proper trajectory through the plaza. This high-speed impact causes the complete destruction of the vehicle and the toll booth structure."
TR00269,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00270,true,smoke,0.000,15.034,A visible smoke anomaly occurs in an urban scene.
TR00271,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00272,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00274,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00275,true,smoke,0.000,5.834,A large smoke plume is visible from an aerial viewpoint.
TR00276,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00277,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00278,true,smoke,0.000,30.000,Smoke is visible in an urban CCTV scene.
TR00279,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00280,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00281,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00282,true,smoke,0.000,5.834,A large smoke plume is visible from an aerial viewpoint.
TR00283,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00284,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00285,true,smoke,0.000,5.834,A large smoke plume is visible from an aerial viewpoint.
TR00286,true,smoke,0.000,5.834,A large smoke plume is visible from an aerial viewpoint.
TR00288,true,smoke,3.000,8.000,"A black pickup truck travels straight from right to left through the intersection, intentionally accelerating to emit a thick cloud of black exhaust smoke. This maneuver, commonly known as rolling coal, occurs as the vehicle maintains its lane and continues through the intersection, blending a performance display with the general flow of a cruising event where modified vehicles are showcased to spectators."
TR00289,true,smoke,0.000,30.000,Smoke is visible in an urban CCTV scene.
TR00290,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00291,true,smoke,0.000,5.834,A large smoke plume is visible from an aerial viewpoint.
TR00292,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00293,true,smoke,0.000,15.034,A visible smoke anomaly occurs in an urban scene.
TR00294,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00295,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00296,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00297,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00298,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00299,true,smoke,3.000,9.940,"An unattended white sedan begins to reverse autonomously from the bottom of the parking area towards the center. Because the front left door was left open, the vehicle crashes violently into a concrete wall column at 01:19.93, resulting in a rear-end collision that stalls the vehicle and causes smoke to emanate from it. The accident is caused by the driver's failure to properly secure the vehicle on the incline, allowing it to roll backward without a driver present."
TR00300,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00301,true,smoke,0.000,5.750,A large smoke plume is visible from an aerial viewpoint.
TR00302,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00303,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00304,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00305,true,smoke,0.670,5.630,"A red cargo truck traveling in Lane 1 collides heavily with the rear of a gray truck moving directly ahead of it. The force of the impact causes the gray truck to deflect and violently break apart in half on the left side of the lane, with smoke rising from the wreckage. Simultaneously, the red cargo truck deflects to the right, crossing from Lane 1 into Lane 2 and Lane 3. The accident was caused by the red cargo truck's failure to maintain a safe following distance and speed, leading to an unavoidable rear-end collision."
TR00306,true,smoke,0.000,5.834,A large smoke plume is visible from an aerial viewpoint.
TR00307,true,smoke,0.000,30.000,Smoke is visible in an urban CCTV scene.
TR00308,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00309,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00310,true,smoke,0.000,5.834,A large smoke plume is visible from an aerial viewpoint.
TR00311,true,smoke,0.000,30.000,Smoke is visible in an urban CCTV scene.
TR00312,true,smoke,0.000,30.000,Smoke is visible in an urban CCTV scene.
TR00313,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00314,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00315,true,smoke,0.000,26.773,Smoke is visible in an urban CCTV scene.
TR00316,true,smoke,0.000,15.034,A visible smoke anomaly occurs in an urban scene.
TR00317,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00318,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00319,true,smoke,0.000,15.034,A visible smoke anomaly occurs in an urban scene.
TR00321,true,smoke,0.000,15.034,A visible smoke anomaly occurs in an urban scene.
TR00322,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00323,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00324,true,smoke,0.000,5.834,A large smoke plume is visible from an aerial viewpoint.
TR00325,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00326,true,smoke,0.000,15.034,A visible smoke anomaly occurs in an urban scene.
TR00327,true,smoke,3.000,6.340,"A white sedan traveling down a slope fails to stop and violently rear-ends a stationary truck stopped in the fifth lane at a crosswalk. The force of the impact pushes the heavy truck forward onto the zebra crossing and causes smoke to gather around the vehicles. This collision is caused by the sedan driver's failure to maintain a safe speed and distance, neglecting to brake for the stationary traffic ahead."
TR00328,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00329,true,smoke,0.000,15.034,A visible smoke anomaly occurs in an urban scene.
TR00330,true,smoke,0.000,5.834,A large smoke plume is visible from an aerial viewpoint.
TR00331,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00332,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00333,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00334,true,smoke,0.000,5.834,A large smoke plume is visible from an aerial viewpoint.
TR00335,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00336,true,smoke,0.000,5.834,A large smoke plume is visible from an aerial viewpoint.
TR00337,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00338,true,smoke,0.000,5.792,A large smoke plume is visible from an aerial viewpoint.
TR00339,true,smoke,3.000,8.180,"A red dump truck traveling in the fourth lane violently rear-ends another stationary red dump truck, causing a cloud of dust and smoke to erupt and sustaining heavy damage to its cab. The force of the impact pushes the first truck forward until it stalls in its lane, while the second truck deflects to the right, crossing into the third lane before coming to a final stop between the second and third lanes. This collision was caused by the second truck driver's failure to maintain a safe following distance and a failure to decelerate for the halted vehicle ahead."
TR00340,true,smoke,0.000,30.000,Smoke is visible in an urban CCTV scene.
TR02754,true,smoke,15.000,20.000,"A black pickup truck travels straight from right to left through the intersection, intentionally accelerating to emit a thick cloud of black exhaust smoke. This maneuver, commonly known as rolling coal, occurs as the vehicle maintains its lane and continues through the intersection, blending a performance display with the general flow of a cruising event where modified vehicles are showcased to spectators."
