video_id,is_anomaly,class_name,start_time_sec,end_time_sec,description_summary
TR00630,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00631,true,traffic_congestion,0.000,10.900,Traffic is congested and vehicles move slowly or queue.
TR00632,true,traffic_congestion,0.000,5.200,Heavy highway traffic forms congestion.
TR00633,true,traffic_congestion,0.000,5.200,Heavy highway traffic forms congestion.
TR00634,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00635,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00636,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00637,true,traffic_congestion,0.000,5.750,Dense or queued traffic is visible from an aerial viewpoint.
TR00638,true,traffic_congestion,0.000,10.267,Traffic is congested and vehicles move slowly or queue.
TR00639,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00640,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00641,true,traffic_congestion,0.000,5.625,Dense or queued traffic is visible from an aerial viewpoint.
TR00642,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00643,true,traffic_congestion,0.000,5.792,Dense or queued traffic is visible from an aerial viewpoint.
TR00644,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00645,true,traffic_congestion,0.000,12.500,Traffic is congested and vehicles move slowly or queue.
TR00646,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00647,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00648,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00649,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00650,true,traffic_congestion,0.000,15.567,Traffic is congested and vehicles move slowly or queue.
TR00651,true,traffic_congestion,0.000,5.750,Dense or queued traffic is visible from an aerial viewpoint.
TR00652,true,traffic_congestion,0.000,5.709,Dense or queued traffic is visible from an aerial viewpoint.
TR00653,true,traffic_congestion,0.000,11.167,Traffic is congested and vehicles move slowly or queue.
TR00654,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00655,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00656,true,traffic_congestion,0.000,15.934,Traffic is congested and vehicles move slowly or queue.
TR00657,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00658,true,traffic_congestion,0.000,14.134,Traffic is congested and vehicles move slowly or queue.
TR00659,true,traffic_congestion,0.000,5.750,Dense or queued traffic is visible from an aerial viewpoint.
TR00660,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00661,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00662,true,traffic_congestion,0.000,13.900,Traffic is congested and vehicles move slowly or queue.
TR00663,true,traffic_congestion,0.000,5.792,Dense or queued traffic is visible from an aerial viewpoint.
TR00664,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00665,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00666,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00667,true,traffic_congestion,0.000,11.500,Traffic is congested and vehicles move slowly or queue.
TR00668,true,traffic_congestion,0.000,17.167,Traffic is congested and vehicles move slowly or queue.
TR00669,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00670,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00671,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00672,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00673,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00674,true,traffic_congestion,0.000,5.400,Heavy highway traffic forms congestion.
TR00675,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00676,true,traffic_congestion,3.000,8.000,"A motorcycle enters the frame and performs a lane-splitting maneuver through the heavily congested traffic on the left side of the highway. Moving at a higher velocity than the surrounding vehicles, the motorcyclist weaves through the narrow gaps between slow-moving cars and a large bus to bypass the stop-and-go congestion. This behavior is a tactical navigation of the available road space to maintain momentum while the primary flow of traffic remains stalled."
TR00677,true,traffic_congestion,0.000,5.750,Dense or queued traffic is visible from an aerial viewpoint.
TR00678,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00679,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00680,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00681,true,traffic_congestion,0.000,5.667,Dense or queued traffic is visible from an aerial viewpoint.
TR00682,true,traffic_congestion,0.000,4.000,"A black car travels straight along the right side of the divided highway, maintaining a steady and consistent pace within its lane. The vehicle follows the general flow of light, uncongested traffic, adhering to the lane markings under the illumination of the streetlights without any deviations or interactions with other vehicles."
TR00683,true,traffic_congestion,3.000,8.000,"A white van and a dark pickup truck enter the flow of traffic moving away from the camera, joining the existing queue of vehicles in the right and middle lanes respectively. These vehicles maintain their lanes and drive straight, contributing to the high-density, slow-moving traffic pattern characteristic of the bottleneck occurring in that direction of travel."
TR00684,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00685,true,traffic_congestion,0.000,5.709,Dense or queued traffic is visible from an aerial viewpoint.
TR00686,true,traffic_congestion,0.000,5.709,Dense or queued traffic is visible from an aerial viewpoint.
TR00687,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00688,true,traffic_congestion,3.000,9.000,"A yellow car enters the frame from the top and drives straight toward the bottom of the frame, maintaining a steady speed and position within the left lanes. The vehicle follows the established flow of uncongested traffic, passing through the scene without interaction or obstruction from other drivers, demonstrating a standard transit through a free-flowing urban roadway."
TR00689,true,traffic_congestion,0.000,5.750,Dense or queued traffic is visible from an aerial viewpoint.
TR00690,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00691,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00692,true,traffic_congestion,0.000,14.834,Traffic is congested and vehicles move slowly or queue.
TR00693,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00694,true,traffic_congestion,0.000,5.750,Dense or queued traffic is visible from an aerial viewpoint.
TR00695,true,traffic_congestion,0.000,6.000,"A silver or light-colored SUV travels straight through the third lane from the left on a divided highway. The vehicle maintains a steady, slow pace consistent with the surrounding congested traffic flow, adhering to its lane markings and following the lead of the vehicles ahead as part of a typical nighttime commute."
TR00696,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00697,true,traffic_congestion,0.000,5.750,Dense or queued traffic is visible from an aerial viewpoint.
TR00698,true,traffic_congestion,0.000,15.800,Traffic is congested and vehicles move slowly or queue.
TR00699,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00700,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00701,true,traffic_congestion,0.000,5.709,Dense or queued traffic is visible from an aerial viewpoint.
TR00702,true,traffic_congestion,0.000,14.534,Traffic is congested and vehicles move slowly or queue.
TR00703,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00704,true,traffic_congestion,0.000,13.900,Traffic is congested and vehicles move slowly or queue.
TR00705,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00706,true,traffic_congestion,0.000,5.667,Dense or queued traffic is visible from an aerial viewpoint.
TR00707,true,traffic_congestion,0.000,15.234,Traffic is congested and vehicles move slowly or queue.
TR00708,true,traffic_congestion,0.000,5.792,Dense or queued traffic is visible from an aerial viewpoint.
TR00709,true,traffic_congestion,0.000,15.234,Traffic is congested and vehicles move slowly or queue.
TR00710,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00711,true,traffic_congestion,0.000,5.709,Dense or queued traffic is visible from an aerial viewpoint.
TR00712,true,traffic_congestion,0.000,5.200,Heavy highway traffic forms congestion.
TR00713,true,traffic_congestion,0.000,11.934,Traffic is congested and vehicles move slowly or queue.
TR00714,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00715,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00716,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00717,true,traffic_congestion,0.000,5.750,Dense or queued traffic is visible from an aerial viewpoint.
TR00718,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00719,true,traffic_congestion,0.000,5.792,Dense or queued traffic is visible from an aerial viewpoint.
TR00720,true,traffic_congestion,0.000,5.200,Heavy highway traffic forms congestion.
TR00721,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00722,true,traffic_congestion,0.000,5.750,Dense or queued traffic is visible from an aerial viewpoint.
TR00723,true,traffic_congestion,0.000,5.625,Dense or queued traffic is visible from an aerial viewpoint.
TR00724,true,traffic_congestion,0.000,5.750,Dense or queued traffic is visible from an aerial viewpoint.
TR00725,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00726,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00727,true,traffic_congestion,0.000,5.750,Dense or queued traffic is visible from an aerial viewpoint.
TR00728,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00729,true,traffic_congestion,0.000,5.400,Heavy highway traffic forms congestion.
TR00730,true,traffic_congestion,0.000,14.467,Traffic is congested and vehicles move slowly or queue.
TR00731,true,traffic_congestion,0.000,13.634,Traffic is congested and vehicles move slowly or queue.
TR00732,true,traffic_congestion,0.000,12.167,Traffic is congested and vehicles move slowly or queue.
TR00733,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00734,true,traffic_congestion,0.000,5.300,Heavy highway traffic forms congestion.
TR00735,true,traffic_congestion,0.000,5.667,Dense or queued traffic is visible from an aerial viewpoint.
