video_id,is_anomaly,class_name,start_time_sec,end_time_sec,description_summary
TR00880,true,stalled_or_broken_down_vehicle,2.600,4.930,"A white coupe and a large truck collide in a severe T-bone collision in the middle of the intersection. The force of the impact causes the coupe to deflect and slide toward the bottom-right side of the frame, where it eventually comes to a stop near a pole on the sidewalk. The truck deflects slightly before stalling within the intersection. The collision was caused by a failure to yield the right-of-way, as both vehicles entered the junction simultaneously on conflicting paths, indicating that one vehicle likely violated a red traffic light."
TR00881,true,stalled_or_broken_down_vehicle,1.040,10.960,"A three-wheeler executes an erratic diagonal lane change from the eighth lane toward the fifth lane, cutting directly into the path of a white sedan traveling straight. This failure to yield the right-of-way results in a severe T-bone collision at 00:05.83. The force of the impact ejects the rider onto the roadway and causes the three-wheeler to rotate back toward the eighth lane where it eventually stalls. Simultaneously, the white sedan swerves into the seventh lane before coming to a complete stop at 00:10.96."
TR00882,true,stalled_or_broken_down_vehicle,3.000,5.070,"A black hatchback enters from the bottom right of the frame and crashes into multiple pedestrians, striking one person standing near the road divider and two others at the bottom left side of the frame. The impact causes the pedestrians to be deflected towards the right and the vehicle to veer toward the bottom left. This anomaly is caused by the driver's failure to maintain control of the vehicle and a disregard for pedestrian safety, resulting in a severe head-on collision that leaves the hatchback stalled on the left side of the road."
TR00883,true,stalled_or_broken_down_vehicle,0.000,16.900,A vehicle is stopped abnormally in the roadway.
TR00884,true,stalled_or_broken_down_vehicle,0.000,11.134,A vehicle is stopped abnormally in the roadway.
TR00885,true,stalled_or_broken_down_vehicle,0.000,17.034,A vehicle is stopped abnormally in the roadway.
TR00886,true,stalled_or_broken_down_vehicle,3.000,5.000,"A silver SUV traveling at high speed from the left strikes a blue three-wheeler pick-up driving straight through the intersection in a T-bone collision. The force of the impact causes the three-wheeler to flip over onto its side, leaving both vehicles stalled in the center of the intersection. The accident was caused by the driver of the silver SUV failing to yield the right-of-way to the cross traffic in an intersection lacking traffic lights or stop signs."
TR00887,true,stalled_or_broken_down_vehicle,0.000,17.967,A vehicle is stopped abnormally in the roadway.
TR00888,true,stalled_or_broken_down_vehicle,0.000,10.634,A vehicle is stopped abnormally in the roadway.
TR00889,true,stalled_or_broken_down_vehicle,0.000,14.667,A vehicle is stopped abnormally in the roadway.
TR00890,true,stalled_or_broken_down_vehicle,3.000,4.800,"A black SUV executes an illegal left turn across the intersection, failing to yield the right-of-way to an oncoming green motorcycle. This results in a T-bone collision where the front of the SUV strikes the right side of the motorcycle, violently throwing the rider from the bike and onto the pavement. The crash is caused by the SUV driver's failure to yield to oncoming traffic while turning, leaving both vehicles stalled and obstructing the bottom-right side of the intersection."
TR00891,true,stalled_or_broken_down_vehicle,0.000,18.234,A vehicle is stopped abnormally in the roadway.
TR00892,true,stalled_or_broken_down_vehicle,3.000,6.260,"A red hatchback traveling from the bottom right of the frame suddenly veers off its path and collides head-on with a gray sedan parked on the left side of the road. The violence of the impact causes the gray sedan to tip onto its left side onto the sidewalk before falling back onto its wheels, while the force is transmitted backward to push a parked white van. Following the crash, the red hatchback rebounds and rolls in reverse before stalling on the road. The anomaly was caused by the red hatchback driver failing to maintain their lane and trajectory, leading to an out-of-control collision with stationary vehicles."
TR00893,true,stalled_or_broken_down_vehicle,0.000,11.134,A vehicle is stopped abnormally in the roadway.
TR00894,true,stalled_or_broken_down_vehicle,3.000,6.650,"A truck with a red cab and green trailer collides head-on with a stalled, overturned truck and its spilled yellow cargo, generating a massive cloud of dust upon impact. The collision occurs because the driver of the moving truck failed to observe the stationary hazard and changed lanes directly into the path of the disabled vehicle. This failure to maintain a proper lookout and avoid the obstacle resulted in a violent impact that left both vehicles disabled."
TR00895,true,stalled_or_broken_down_vehicle,0.000,12.700,A vehicle is stopped abnormally in the roadway.
TR00896,true,stalled_or_broken_down_vehicle,0.000,14.300,A vehicle is stopped abnormally in the roadway.
TR00899,true,stalled_or_broken_down_vehicle,0.000,11.967,A vehicle is stopped abnormally in the roadway.
TR00900,true,stalled_or_broken_down_vehicle,0.000,16.800,A vehicle is stopped abnormally in the roadway.
TR00901,true,stalled_or_broken_down_vehicle,0.000,16.634,A vehicle is stopped abnormally in the roadway.
TR00902,true,stalled_or_broken_down_vehicle,0.000,12.400,A vehicle is stopped abnormally in the roadway.
TR00903,true,stalled_or_broken_down_vehicle,3.000,3.670,"A white car entering from the left of the frame and another white car entering from the bottom right collide in a forceful T-bone collision in the center of the intersection. Both vehicles stall immediately upon impact due to a mutual failure to yield or assess cross-traffic in an unregulated intersection lacking active traffic signals. The collision results in the vehicle from the left being deflected toward its left, while the other vehicle remains stalled in the middle of the lane."
TR00904,true,stalled_or_broken_down_vehicle,1.800,5.000,"A silver sedan and a gray SUV engage in a violent head-on collision in the middle of an uncontrolled intersection. The silver sedan, having entered from the left without yielding the right-of-way to the straight-moving SUV, is deflected by the impact and eventually stalls near the crosswalk with severe front-end damage. Simultaneously, the force of the crash deflects the gray SUV toward the right side of the frame, causing it to run off the road and fall into a ditch by 00:05.00."
TR00905,true,stalled_or_broken_down_vehicle,2.670,4.830,"A gray van and a black sedan collide in a severe T-bone accident at the center of the intersection. The black sedan deflects to the left just before the impact, and the resulting force causes the gray van to tip over onto its side and slide before stalling. This collision was caused by both drivers failing to stop and yield at the blinking red traffic light, which requires all vehicles to treat the intersection as a stop sign."
TR00906,true,stalled_or_broken_down_vehicle,0.000,12.067,A vehicle is stopped abnormally in the roadway.
TR00907,true,stalled_or_broken_down_vehicle,0.000,10.300,A vehicle is stopped abnormally in the roadway.
TR00908,true,stalled_or_broken_down_vehicle,3.000,10.870,"A blue truck traveling from the top to the bottom of the frame fails to stop for stationary traffic, resulting in a multi-vehicle pile-up collision. The truck violently rear-ends a gray sedan, which is then pushed into a white pickup truck, subsequently forcing the pickup truck into a white SUV. This chain reaction causes the vehicles to deflect and move forward into the crosswalk area, where they eventually stall. The collision is caused by the blue truck driver's failure to maintain a safe following distance and speed while approaching vehicles that had correctly stopped for pedestrians."
TR00909,true,stalled_or_broken_down_vehicle,2.540,7.000,"A white bus executing a left turn fails to yield to oncoming traffic, resulting in a T-bone collision with a black sedan traveling straight in lane 3. The force of the impact pushes the sedan into the adjacent lane, where it crashes into a black hatchback moving straight in lane 4. This secondary collision causes the hatchback to bounce and rotate toward the right before all three vehicles come to a complete stall across lanes 4, 5, and 6. The accident was caused by the bus driver's failure to yield the right-of-way, a mistake likely compounded by the poor visibility and slippery conditions of the heavy rain."
TR00911,true,stalled_or_broken_down_vehicle,3.000,5.400,"A black SUV loses control while drifting and strikes a white SUV, which is then pushed into a dark gray car already stalled on the right shoulder. The collision is a result of the black SUV's inability to maintain traction and steer on the snow-covered highway, causing it to slide across lanes and strike the stationary vehicles. The impact forces the white SUV into the dark gray car before all three vehicles come to a complete stop, contributing to the growing multi-vehicle pileup."
TR00912,true,stalled_or_broken_down_vehicle,0.000,13.367,A vehicle is stopped abnormally in the roadway.
TR00913,true,stalled_or_broken_down_vehicle,3.000,10.060,"A speeding black SUV collides heavily with a silver car attempting a left turn at an intersection, resulting in a T-bone collision. The force of the impact deflects the black SUV, sending it careening off the roadway and onto a populated sidewalk. Multiple pedestrians are forced to scatter and run in various directions to avoid being struck as the vehicle plows through the pedestrian zone. The black SUV eventually steers back to the left, re-entering the roadway before coming to a complete stop and stalling at 00:23.06. The root cause was the black SUV's excessive speed, which made the collision inevitable and caused the driver to lose control after the impact."
TR00914,true,stalled_or_broken_down_vehicle,2.210,6.550,"A black sedan attempting a left turn fails to yield the right-of-way to a white pickup truck traveling straight, resulting in a violent T-bone collision at the center of the frame. The force of the impact deflects the pickup truck to the left, sending it veering across the road until it crashes head-on into the bridge barricade. Following the initial impact, the black sedan comes to a complete halt and remains stalled in the lane, obstructing the roadway. The accident was caused by the sedan driver's failure to ensure the intersection was clear before committing to the turn."
TR00915,true,stalled_or_broken_down_vehicle,0.000,10.700,A vehicle is stopped abnormally in the roadway.
TR00916,true,stalled_or_broken_down_vehicle,0.000,14.300,A vehicle is stopped abnormally in the roadway.
TR00917,true,stalled_or_broken_down_vehicle,0.000,12.400,A vehicle is stopped abnormally in the roadway.
TR00919,true,stalled_or_broken_down_vehicle,3.000,5.530,"A black sedan traveling at high speed violates a red traffic signal and T-bones another sedan in the center of the intersection. The force of the impact propels the black sedan into the air, where it strikes a traffic signal pole before landing on the road on the top-left side of the frame. The collision is caused by the black sedan driver's failure to stop for the red light while speeding, resulting in a violent crash that leaves the struck vehicle turned sideways and stalled."
TR00920,true,stalled_or_broken_down_vehicle,0.250,6.580,"A red truck traveling from the top left of the frame runs a red light and enters the intersection, where it suffers a severe T-bone collision with another red truck proceeding straight from the left. The force of the impact causes the first truck to lose control, veer into the wrong lanes, and eventually overturn and fall off the road toward the bottom right by 00:06.58. The second truck is left heavily damaged and stalled in the middle of the intersection. The root cause of the accident is the first truck driver's failure to stop for the red signal, which created an unavoidable conflict with the cross-traffic."
TR00921,true,stalled_or_broken_down_vehicle,1.600,5.830,"A white hatchback crossing the lanes fails to yield the right-of-way, resulting in a violent T-bone collision with another white car entering from the right. The force of the impact causes the second vehicle to tumble and roll through the air before landing upside down on its roof. The hatchback is pushed sideways and sustains partial damage, eventually stalling in the lane by 00:03.36. This severe crash disrupts the intersection, forcing a nearby motorcyclist to take evasive action to reach safety."
TR00922,true,stalled_or_broken_down_vehicle,1.530,6.860,"A white SUV navigating the roundabout collides with a black sedan traveling straight from the top of the frame in a T-bone collision. The impact deflects the black sedan, causing it to skid across the wet, snowy road surface before finally stalling at the roundabout by 00:06.86. The collision was caused by both vehicles moving simultaneously through the intersection without properly yielding the right-of-way to one another."
TR00923,true,stalled_or_broken_down_vehicle,3.000,6.820,"A black car traveling from the left side of the frame crashes head-on into the concrete median barrier of a four-lane road. The force of the high-speed impact causes the vehicle to roll over twice before it finally stalls and comes to a rest on the roadway. This catastrophic accident was caused by the driver losing control of the vehicle and failing to maintain their lane, a situation likely exacerbated by the wet road conditions and intense glare from background lights."
TR00924,true,stalled_or_broken_down_vehicle,0.000,7.000,"A red car travels straight through the left lane of the right carriageway, maintaining highway speed to bypass a congested queue of commercial trucks stalled in the adjacent right lane. The driver utilizes the open lane to avoid the stationary traffic, following standard highway behavior where passenger vehicles navigate around slower or stopped heavy-duty transport to maintain flow."
TR00925,true,stalled_or_broken_down_vehicle,0.000,17.567,A vehicle is stopped abnormally in the roadway.
TR00926,true,stalled_or_broken_down_vehicle,3.000,4.270,"A car moving from the left of the frame enters the intersection and is struck by a truck moving straight from the top left in a T-bone collision. The impact causes the car to spin and stall in the center of the intersection, while the truck loses control, veers toward the right, and strikes two pedestrians waiting at the median before hitting a tree and exiting the frame. The anomaly was caused by the car driver's failure to yield the right of way to the oncoming truck, leading to an unavoidable collision and subsequent secondary accidents."
TR00927,true,stalled_or_broken_down_vehicle,0.000,11.300,A vehicle is stopped abnormally in the roadway.
TR00928,true,stalled_or_broken_down_vehicle,0.000,12.667,A vehicle is stopped abnormally in the roadway.
TR00929,true,stalled_or_broken_down_vehicle,0.000,13.667,A vehicle is stopped abnormally in the roadway.
TR00930,true,stalled_or_broken_down_vehicle,0.000,13.400,A vehicle is stopped abnormally in the roadway.
TR00933,true,stalled_or_broken_down_vehicle,0.000,16.500,A vehicle is stopped abnormally in the roadway.
TR00934,true,stalled_or_broken_down_vehicle,3.000,4.260,"A white pick-up truck and a blue hatchback collide head-on in the center of the roadway. The collision occurs because the blue hatchback attempted an unsafe overtaking maneuver, crossing into the opposing lane and placing itself directly in the path of the oncoming white pick-up truck. The force of the impact causes both vehicles to come to an immediate halt, leaving them stalled in the middle of the lane."
TR00935,true,stalled_or_broken_down_vehicle,0.000,11.067,A vehicle is stopped abnormally in the roadway.
TR00936,true,stalled_or_broken_down_vehicle,0.000,15.500,A vehicle is stopped abnormally in the roadway.
TR00937,true,stalled_or_broken_down_vehicle,0.000,10.834,A vehicle is stopped abnormally in the roadway.
TR00938,true,stalled_or_broken_down_vehicle,3.000,13.670,"A white sedan traveling straight toward a crosswalk attempts to execute a U-turn around a central physical divider in the middle of the intersection. During the maneuver, the driver misjudges the turning radius or loses control, resulting in the vehicle crashing head-on directly into the divider structure. Following the impact, the white sedan stalls in the active traffic lane, creating a sudden obstacle that disrupts the normal flow of traffic."
TR00939,true,stalled_or_broken_down_vehicle,0.000,14.900,A vehicle is stopped abnormally in the roadway.
TR00941,true,stalled_or_broken_down_vehicle,0.000,14.867,A vehicle is stopped abnormally in the roadway.
TR00942,true,stalled_or_broken_down_vehicle,0.000,14.000,A vehicle is stopped abnormally in the roadway.
TR00943,true,stalled_or_broken_down_vehicle,0.000,17.167,A vehicle is stopped abnormally in the roadway.
TR00944,true,stalled_or_broken_down_vehicle,0.000,15.067,A vehicle is stopped abnormally in the roadway.
TR00945,true,stalled_or_broken_down_vehicle,0.000,15.867,A vehicle is stopped abnormally in the roadway.
TR00947,true,stalled_or_broken_down_vehicle,0.000,14.534,A vehicle is stopped abnormally in the roadway.
TR00948,true,stalled_or_broken_down_vehicle,0.000,16.067,A vehicle is stopped abnormally in the roadway.
TR00949,true,stalled_or_broken_down_vehicle,2.110,5.350,"A silver SUV rear-ends a stationary white sedan stalled near the roadside barrier, causing the white sedan to flip upside down from the force of the impact. During the collision sequence, the silver SUV also strikes another sedan in the adjacent lane, forcing that vehicle to veer into lane 1. The silver SUV subsequently spins and slows down, coming to a halt across multiple lanes. The accident was caused by the silver SUV driver's failure to recognize the stalled vehicle or maintain a safe distance, making the high-energy collision unavoidable."
TR00950,true,stalled_or_broken_down_vehicle,0.000,10.234,A vehicle is stopped abnormally in the roadway.
TR00951,true,stalled_or_broken_down_vehicle,0.000,12.234,A vehicle is stopped abnormally in the roadway.
TR00952,true,stalled_or_broken_down_vehicle,2.070,4.600,"A white SUV and a red van engage in a violent T-bone collision in the middle of an uncontrolled intersection. The impact causes the red van to spin and stall in the center of the roadway, while the white SUV is deflected to the left, veering completely off the paved surface and into a dirt shoulder, kicking up a cloud of dust. The accident is caused by both drivers entering the unsignalized intersection at moderate speeds without yielding or observing cross-traffic, making the collision inevitable."
TR00953,true,stalled_or_broken_down_vehicle,0.000,11.467,A vehicle is stopped abnormally in the roadway.
TR00954,true,stalled_or_broken_down_vehicle,0.000,16.700,A vehicle is stopped abnormally in the roadway.
TR00955,true,stalled_or_broken_down_vehicle,3.000,12.060,"A white load-carrying truck traveling in the right lane loses control and strikes the right roadside barrier, triggering a visible blast and sparks. The driver's subsequent severe overcorrection causes the truck to swerve sharply across into the left lane, where it collides with the opposite barrier. This violent impact and erratic momentum cause the vehicle to spin and flip onto its side, rolling multiple times before finally coming to a complete stop, stalled and upturned on its right side, facing the left side of the frame."
TR00956,true,stalled_or_broken_down_vehicle,0.000,16.500,A vehicle is stopped abnormally in the roadway.
TR00957,true,stalled_or_broken_down_vehicle,0.000,16.134,A vehicle is stopped abnormally in the roadway.
TR00958,true,stalled_or_broken_down_vehicle,0.000,18.134,A vehicle is stopped abnormally in the roadway.
TR00960,true,stalled_or_broken_down_vehicle,0.000,13.634,A vehicle is stopped abnormally in the roadway.
