video_id,is_anomaly,class_name,start_time_sec,end_time_sec,description_summary
TR00001,false,normal,,,"A motorcycle with a rider dressed in black enters the frame from the bottom and travels straight toward the top of the scene using the far-right lane. The rider maintains a steady pace and a consistent lane position, following the general flow of traffic moving in that direction without any interference from the parked vehicles on the right or the cars moving in the opposite direction."
TR00002,false,normal,,,"A red car in the middle lane and a white truck with a red stripe in the rightmost lane both drive away from the camera, while a white car, a white van, a white truck, and another white car approach from the opposite direction. The vehicles maintain consistent highway speeds and stay within their respective lanes, demonstrating a standard flow of traffic where passenger cars utilize the center lanes and larger commercial vehicles occupy the right lane."
TR00004,false,normal,,,"A dark grey sedan and a silver SUV travel forward in the lanes closest to the camera, while a white SUV travels in the opposite direction. All three vehicles maintain a steady pace and stay strictly within their designated lanes, following the natural curvature of the winding valley road as they pass one another safely, adhering to standard right-of-way and lane discipline for a two-way highway."
TR00005,false,normal,,,"A black SUV travels straight within the congested oncoming lanes of a divided highway, maintaining a slow and steady pace consistent with the surrounding heavy traffic flow. The vehicle adheres to its lane position, following the pace of the vehicles ahead in a typical stop-and-go nighttime commute where high vehicle density dictates a uniform, reduced speed for all participants."
TR00006,false,normal,,,"A red SUV in the leftmost lane and a white car in the rightmost lane both travel straight at steady highway speeds, maintaining their respective lanes as they move in opposite directions. This flow represents standard highway behavior where vehicles adhere to lane markings and maintain constant velocity in a free-flowing traffic environment without any conflicting maneuvers or signals."
TR00007,false,normal,,,"A white SUV, a black sedan, and a white pickup truck travel straight in the left and middle lanes, moving away from the camera, while a large white box truck with yellow circular patterns travels straight in the right lane moving toward the camera. These vehicles maintain their respective lanes at consistent speeds, following standard highway flow patterns where vehicles in opposite directions are separated by a central median barrier."
TR00008,true,wrong_way_driving,0.000,5.000,"In the middle lanes, a black pickup truck and a red sedan perform simultaneous lane changes in opposite directions while a yellow box truck continues driving straight. The black pickup truck shifts smoothly to the right and the red sedan moves to the left, both maneuvers executed as the drivers find available space in adjacent lanes to optimize their positioning on the highway."
TR00009,false,normal,,,"A red car, a white car, and a white SUV travel straight along the left side of the divided highway, while a black SUV and a dark car move in the opposite direction on the right side. The vehicles maintain steady speeds and remain within their respective lanes, following standard highway traffic flow rules for a multi-lane road with no intersecting traffic or signals to impede their progress."
TR00010,false,normal,,,"Traffic flows in opposite directions on a multi-lane highway at night, where vehicles moving toward the bottom of the frame maintain a steady, free-flowing pace while vehicles moving toward the top of the frame experience moderate to heavy congestion. The drivers on the right side of the highway engage in collective braking and speed adjustments, responding to a dense cluster of vehicles and slower traffic conditions ahead to maintain safe following distances."
TR00011,true,wrong_way_driving,1.780,5.480,"A black SUV traveling the wrong way in lane 7 collides head-on with a white truck moving in the correct direction. The force of the impact causes the black SUV to be dragged across multiple lanes from lane 7 to lane 5, where it eventually comes to a complete stop and remains stalled. Simultaneously, the white truck veers out of its lane, shifting from lane 7 through lane 6 and into lane 5. This severe collision was caused by the black SUV driver's failure to follow traffic laws by driving against the established flow of traffic, making the head-on impact unavoidable for the white truck."
TR00012,false,normal,,,"A white van and two black cars travel straight in their respective lanes on the right side of the divided highway, while a black car travels in the opposite direction on the left side. All vehicles maintain consistent highway speeds and stay within their lane markings, demonstrating a standard, uninterrupted traffic flow under nighttime conditions."
TR00013,false,normal,,,"Several heavy-duty vehicles are traveling in opposite directions on a divided highway. On the left carriageway, a white truck with a blue trailer, a white truck with a white trailer, and a yellow truck move away from the camera in a free-flowing manner. Simultaneously, on the right carriageway, a white truck with a red trailer and a white truck with a white trailer move towards the camera, navigating through a congested environment where heavy vehicles are queued in the right lane."
TR00014,true,wrong_way_driving,0.510,3.510,"A black sedan traveling on a wet, curved road loses traction and spins out of control, sliding into a wrong-way orientation and heading directly toward an oncoming white van. This erratic movement results in the black sedan causing a rear-end collision with the white van by 00:03.51. The anomaly is caused by the sedan driver's failure to maintain control of the vehicle on the slippery road surface, likely due to an unsuitable speed for the curve and weather conditions."
TR00015,false,normal,,,"A white sedan emerges from the intersecting side road on the left and executes a right-hand turn to merge into the main highway. The driver yields to the existing traffic flow before smoothly entering the oncoming lanes, adhering to standard right-of-way rules for merging from a secondary road into a primary artery."
TR00016,false,normal,,,"A white box truck travels steadily away from the camera while a flatbed truck moves in the opposite direction toward the camera, both maintaining their respective lanes on the multi-lane divided highway. The vehicles adhere to standard highway driving protocols by staying within the dashed white lane markings and maintaining a consistent speed, ensuring a smooth and free-flowing traffic pattern."
