video_id,is_anomaly,class_name,start_time_sec,end_time_sec,description_summary
TR00180,true,road_spill_or_debris,2.440,4.510,"A red container truck traveling in the leftmost lane rear-ends a truck ahead of it due to a failure to maintain a safe following distance and control its speed. The forceful impact causes the lead truck to deflect across multiple lanes and the red truck to be thrown across adjacent lanes, striking the ground and kicking up debris. This collision disrupts the steady flow of highway traffic and initiates a sequence where the struck vehicle violently overturns beyond the central median."
TR00181,true,road_spill_or_debris,3.000,3.840,"A red truck traveling straight through the intersection strikes a white van in a severe T-bone collision. The white van, which had entered the intersection from the right, is hit on its side by the front of the truck, causing the van to spin violently and scatter debris across the roadway. This anomaly is caused by a failure to yield the right-of-way at a signalized intersection, as the white van entered the path of the oncoming truck illegally."
TR00182,true,road_spill_or_debris,0.000,2.880,"A small truck transporting white boxes collides with the side of a large car carrier truck that is parked and standing idle on the right side of the highway. The impact is a T-bone collision that causes the small truck's cargo area to rupture, scattering white boxes and debris across the roadway. The accident is caused by the small truck driver's lack of situational awareness and failure to maintain a safe path, resulting in a collision with a stationary vehicle."
TR00183,true,road_spill_or_debris,2.290,5.010,"A white hatchback traveling from top to bottom loses control and crashes head-on into the central median railing, breaking through the barrier and crossing into the opposing traffic lanes. As the hatchback enters the opposing flow, a white SUV traveling from bottom to top sideswipes the damaged railing and scattered debris, forcing the SUV to swerve into the adjacent right lane to avoid a direct collision. The root cause is the hatchback driver's loss of vehicle control, which caused the vehicle to breach the median and violate the right-of-way of oncoming traffic."
TR00184,true,road_spill_or_debris,1.360,4.380,"A white van attempting a left turn is struck by a red truck traveling straight from the top-left, which drags the van into the center of the intersection. Almost immediately, a second red truck traveling straight from the top-right corner collides head-on with the first red truck. This multi-vehicle crash creates a cloud of dust and debris, leaving the white van and both trucks stalled in the center of the intersection. The primary cause was the white van's failure to yield the right-of-way in an uncontrolled intersection, followed by the second truck's inability to stop in time to avoid the wreckage."
TR00185,true,road_spill_or_debris,3.000,7.180,"A white truck traveling straight in the left lane collides head-on with a light brown car that is stalled in the roadway. The impact creates a cloud of dust and debris, resulting in significant damage to both vehicles. The accident is caused by the combination of the car being stalled in an active travel lane and the truck driver's failure to maintain situational awareness or brake in time to avoid the stationary hazard."
TR00186,true,road_spill_or_debris,3.000,6.200,"A dark gray SUV traveling at a high speed from the bottom of the frame enters the intersection without caution and violently T-bones a white pickup truck entering from the right. The force of this initial impact causes the dark gray SUV to deflect to the left, where it immediately collides in a second T-bone collision with a car traveling straight from the top of the frame. This chain of events, caused by the SUV driver's failure to yield and excessive speed, results in debris and water scattering across the damp road as the vehicles spin and begin to stall."
TR00187,true,road_spill_or_debris,3.000,5.200,"A black sedan traveling at excessive speed loses control, skidding across lanes to the left before crashing head-on into the roadside barriers. The violent impact generates flames, sparks, and a large cloud of debris, causing the vehicle to flip over as it recoils from the barrier. The root cause of the anomaly is the driver's failure to maintain a safe speed, which led to a complete loss of vehicle stability and the subsequent high-energy collision."
TR00188,true,road_spill_or_debris,0.670,2.620,"A red truck traveling from the bottom to the top of the frame suddenly veers left and collides head-on with the central median barrier. The impact is violent enough to break through the barrier, generating a massive cloud of dust and debris that spreads across the highway. This accident is caused by the driver losing control of the vehicle and failing to maintain their lane, resulting in a severe single-vehicle collision."
TR00189,true,road_spill_or_debris,2.570,6.940,"A speeding black hatchback violently rear-ends a stalled white hatchback in an active highway lane. The force of the initial impact propels the white hatchback forward, causing it to collide with another stalled black car and strike three pedestrians standing between the two stationary vehicles. Following these successive impacts, the black hatchback is deflected to the right while the white hatchback is deflected to the left, scattering debris across the roadway. The root cause of the anomaly is the improper stalling of vehicles and presence of pedestrians in a high-speed lane, compounded by the black hatchback driver's failure to maintain situational awareness and brake for the stationary hazards."
TR00190,true,road_spill_or_debris,2.470,6.420,"A large truck traveling from the bottom left toward the top of the frame in the third lane loses traction on the wet, flooded road and topples over. This instability results in a heavy collision with the road surface between 00:03.42 and 00:06.42, generating a massive splash of water and debris that engulfs the adjacent lane. The anomaly is caused by the truck traveling at an unsafe speed for the rainy nighttime conditions, leading to a complete loss of vehicle control."
TR00191,true,road_spill_or_debris,0.960,4.660,"A white SUV suddenly loses control and veers sharply to the right, resulting in a violent head-on collision with the roadside metal barrier. The impact is forceful enough to shatter the barrier and scatter metal debris across the highway lanes before the SUV breaks through the fence and eventually comes to a complete stall. The anomaly is caused by a sudden loss of vehicle control or driver error, as the SUV deviates from its straight path without any external interference from other traffic."
TR00192,true,road_spill_or_debris,2.410,4.570,"A small blue truck executing a left turn from the sixth lane fails to yield to oncoming traffic, resulting in a severe T-bone collision with a large brown truck traveling straight in the fourth lane. The force of the impact and the subsequent evasive swerving cause the brown truck to lose balance and violently roll over onto its side, sliding across the intersection and generating a massive cloud of dust and debris. The crash was caused by the blue truck driver's failure to observe the right-of-way granted to straight-moving traffic by the green signal."
TR00193,true,road_spill_or_debris,2.060,5.670,"A white sedan enters the intersection at high speed and is rear-ended by a black SUV, creating a momentum that propels both vehicles into a group of motorcycles stationary at a red light. This trigger causes a multi-vehicle pile-up that launches riders and motorcycles across the intersection and results in a collision with a pedestrian crossing the street. The event concludes with the white sedan veering to the right and the black SUV coming to a halt amidst the debris. The root cause of the anomaly is the failure of both the sedan and SUV drivers to stop for the red traffic signal and the stopped traffic ahead."
TR00194,true,road_spill_or_debris,0.830,2.570,"A blue sedan collides head-on with a guardrail and crash attenuator barrels at the gore area of a highway exit ramp, causing the vehicle to launch into the air and flip over. The sedan lands upside down on the exit ramp side of the barrier, leaving debris scattered across the scene. The accident was caused by the driver's failure to maintain a proper lane or navigate the diverging road layout, leading the vehicle to drive straight into the physical barrier instead of following the road."
TR00195,true,road_spill_or_debris,0.000,8.160,"A severe multi-vehicle accident occurs when a red truck loses its balance and flips over a black SUV, triggering a chain reaction of collisions. Another red truck loses control and flips to its left, violently striking the central median guardrail; this impact causes its trailer to detach and swing horizontally across lanes 1, 2, and 3. The sliding trailer pushes a third red truck from lane 2 into lane 1, while a massive cloud of debris erupts from the crash site. The root cause is a failure to maintain a safe following distance and speed within heavily congested traffic, resulting in a complete blockage of multiple highway lanes."
TR00196,true,road_spill_or_debris,1.230,2.370,"A speeding truck veers off its path and violently collides head-on with a parked minivan along the right curb, creating a burst of sparks and debris. Following this initial impact, the truck is deflected to the left and strikes a pole-mounted traffic sign, knocking it down before continuing off the roadway under some roadside trees where it finally comes to a halt. The incident is caused by the truck driver's failure to maintain their travel lane while traveling at an unsafe speed, leading to the destruction of both the parked vehicle and the roadside infrastructure."
TR00197,true,road_spill_or_debris,3.000,6.590,"A white sedan traveling in the second lane deviates from its path and violently collides head-on with the metal road divider in the center of the frame. The force of the impact causes the vehicle to spin in a circle along the divider, generating sparks and scattering debris across the roadway. This anomaly was caused by the driver losing control of the vehicle and failing to maintain their lane, resulting in a severe collision that leaves the sedan disabled and damages the median infrastructure."
TR00198,true,road_spill_or_debris,2.780,3.440,"A black SUV traveling at high speed collides violently with the rear of a stationary red dump truck stopped before an intersection. The impact is severe enough to generate a large cloud of smoke, dust, and debris while destroying nearby traffic barricades. This accident was caused by the SUV driver's failure to observe the stopped vehicle and the presence of barricades, combined with a failure to maintain a safe speed and proper lookout."
TR00199,true,road_spill_or_debris,1.460,4.880,"A black car traveling in lane 3 veers sharply to the right and crashes head-on into the central median barrier, shattering the white fencing and planters. The force of the impact scatters debris across the roadway, and the vehicle's momentum carries it forward through the destroyed barrier before it eventually slows. The collision is caused by the driver's failure to maintain their lane, as the car drifts inexplicably into the median without any signs of braking or corrective maneuvering."
TR00201,true,road_spill_or_debris,1.350,4.890,"A white truck traveling at a moderate to fast speed suddenly veers out of its lane and collides head-on with the metal lane barriers on the left side of the bridge. The impact is forceful, generating a shower of sparks and scattering debris across the roadway as the truck scrapes along the guardrail. The collision is caused by the driver losing control of the vehicle and failing to maintain a straight trajectory, likely due to driver distraction or fatigue."
TR00202,true,road_spill_or_debris,2.540,7.710,"A black sedan initiates a left turn from lane three into lane two, crossing directly into the path of an oncoming motorcycle. This failure to yield the right-of-way results in a T-bone collision at 00:04.16, which deflects the motorcycle and causes the rider to fall and skid across lane one. The impact leaves the black sedan stalled in the middle of the roadway, creating a significant hazard and scattering debris across the wet surface."
TR00203,true,road_spill_or_debris,0.690,5.190,"A black sedan traveling from left to right veers suddenly and collides head-on with the central median guardrail, causing the vehicle to spin 360 degrees across the second and third lanes. The impact scatters debris across the roadway before the vehicle moves back slightly and stalls across multiple lanes. This anomaly was caused by the driver losing control of the vehicle, which led to the forceful impact with the barrier and the subsequent loss of directional stability."
TR00204,true,road_spill_or_debris,0.990,3.160,"A gray sedan traveling at high speed through the intersection collides violently with several motorcycles stopped at a pedestrian crosswalk. The rear-end collision creates a visible dust cloud and scatters debris across the roadway, causing the sedan to deflect across the crosswalk toward the bottom of the frame. This anomaly was caused by the sedan driver failing to decelerate and violating red traffic signals, plowing directly into the stationary vehicles that were correctly yielding the right-of-way."
TR00205,true,road_spill_or_debris,3.000,6.000,"A light-colored car traveling at high speed veers out of its lane and violently rear-ends a dark-colored vehicle parked on the right side of the road. The force of the impact creates a shower of sparks and debris as the striking car's front end crumples, propelling the stationary vehicle forward and slightly to the left. This collision is caused by the driver of the light-colored car failing to maintain lane discipline and control their speed, resulting in an unavoidable high-energy impact with the parked car."
TR00206,true,road_spill_or_debris,0.540,1.380,"A black sedan entering the intersection from the bottom left fails to yield to oncoming traffic, resulting in a T-bone collision with a red hatchback traveling straight from the top right. The impact occurs at the front left side of the black sedan and the front right corner of the red hatchback, causing the hatchback's hood to pop open and debris to scatter across the roadway. This collision is caused by the black sedan driver's right-of-way violation, as they entered the intersection without ensuring it was clear despite the green light for the main traffic flow."
TR00207,true,road_spill_or_debris,1.690,2.140,"A car traveling at an exceptionally high rate of speed enters the frame from the right and strikes a rectangular tollgate structure head-on. The impact is violent, causing the structure to be pushed to the left and triggering a massive eruption of dust and debris that obscures the scene. The collision is caused by the driver's failure to maintain vehicle control, align with the designated toll lanes, or reduce speed upon approaching the plaza infrastructure."
TR00208,true,road_spill_or_debris,2.290,4.440,"A black SUV traveling in the third lane from the left veers out of its lane and collides head-on with the central median of the flyover. The violent impact causes debris to explode outward and scatter across the roadway, resulting in significant front-end damage to the vehicle. This anomaly is caused by the driver's failure to maintain their lane and a subsequent loss of control, leading to a direct collision with the stationary infrastructure."
TR00209,true,road_spill_or_debris,1.860,3.730,"A black car traveling in the leftmost lane collides with the rear end of a black bus, causing the car to be violently deflected toward the central median barrier. The car subsequently crashes into the barrier, coming to a complete halt and generating a large cloud of dust and debris. The root cause of the anomaly was the driver of the black car failing to maintain a safe following distance and neglecting to reduce speed while approaching the slower-moving bus ahead."
TR00210,true,road_spill_or_debris,3.000,6.000,"A massive explosion detonates on the right side of the road in the distance, instantly generating a colossal plume of fire, black smoke, and debris that causes the camera to shake violently. The event is caused by the detonation of a large explosive device, which immediately transforms the open roadway into a disaster zone as the initial blast expands rapidly."
TR00211,true,road_spill_or_debris,3.000,4.420,"A white sedan traveling from right to left collides with a white SUV moving from top to bottom in a violent T-bone collision at the center of the intersection. The impact causes both vehicles to skid toward the left side of the frame, generating a cloud of dust and scattering debris. The collision is caused by both drivers failing to reduce speed or yield the right-of-way at an uncontrolled intersection lacking traffic lights or stop signs."
TR00212,true,road_spill_or_debris,2.510,5.130,"A black car enters from the top-left of the frame and violently crashes into the road median in a T-bone collision. The impact generates a cloud of dust and debris, causing the vehicle to lose control and rotate 360 degrees twice across the lane. This anomaly was caused by the driver's failure to maintain proper vehicle control and lane discipline while navigating a curve at high speed under unstable weather conditions at night."
TR00213,true,road_spill_or_debris,1.530,2.460,"A red sedan traveling at high speed on the main road strikes a beige sedan in a severe T-bone collision as the beige vehicle crosses the intersection from right to left. The force of the impact causes the red sedan to veer slightly left and pushes the beige sedan toward the right, scattering debris across the wet pavement. The collision is caused by the beige sedan's failure to yield right-of-way to the oncoming traffic and the red sedan's high speed, which, combined with the slippery road surface, made the accident unavoidable."
